l,w,h
27,19,17
27,19,18
27,19,19
27,19,20
27,19,21
27,19,22
27,19,23
27,19,24
27,19,25
27,19,26
27,19,27
27,20,12
27,20,13
27,20,14
27,20,15
27,20,16
27,20,17
27,20,18
27,20,19
27,20,20
27,20,21
27,20,22
27,20,23
27,20,24
27,20,25
27,20,26
27,20,27
27,21,12
27,21,13
27,21,14
27,21,15
27,21,16
27,21,17
27,21,18
27,21,19
27,21,20
27,21,21
27,21,22
27,21,23
27,21,24
27,21,25
27,21,26
27,21,27
27,22,12
27,22,13
27,22,14
27,22,15
27,22,16
27,22,17
27,22,18
27,22,19
27,22,20
27,22,21
27,22,22
27,22,23
27,22,24
27,22,25
27,22,26
27,22,27
28,10,12
28,10,13
28,10,14
28,10,15
28,10,16
28,10,17
28,10,18
28,10,19
28,10,20
28,10,21
28,10,22
28,10,23
28,10,24
28,10,25
28,10,26
28,10,27
28,11,12
28,11,13
28,11,14
28,11,15
28,11,16
28,11,17
28,11,18
28,11,19
28,11,20
28,11,21
28,11,22
28,11,23
28,11,24
28,11,25
28,11,26
28,11,27
28,12,12
28,12,13
28,12,14
28,12,15
28,12,16
28,12,17
28,12,18
28,12,19
28,12,20
28,12,21
28,12,22
28,12,23
28,12,24
28,12,25
28,12,26
28,12,27
28,13,12
28,13,13
28,13,14
28,13,15
28,13,16
28,13,17
28,13,18
28,13,19
28,13,20
28,13,21
28,13,22
28,13,23
28,13,24
28,13,25
28,13,26
28,13,27
28,14,12
28,14,13
28,14,14
28,14,15
28,14,16
28,14,17
28,14,18
28,14,19
28,14,20
28,14,21
28,14,22
28,14,23
28,14,24
28,14,25
28,14,26
28,14,27
28,15,12
28,15,13
28,15,14
28,15,15
28,15,16
28,15,17
28,15,18
28,15,19
28,15,20
28,15,21
28,15,22
28,15,23
28,15,24
28,15,25
28,15,26
28,15,27
28,16,12
28,16,13
28,16,14
28,16,15
28,16,16
28,16,17
28,16,18
28,16,19
28,16,20
28,16,21
28,16,22
28,16,23
28,16,24
28,16,25
28,16,26
28,16,27
28,17,12
28,17,13
28,17,14
28,17,15
28,17,16
28,17,17
28,17,18
28,17,19
28,17,20
28,17,21
28,17,22
28,17,23
28,17,24
28,17,25
28,17,26
28,17,27
28,18,12
28,18,13
28,18,14
28,18,15
28,18,16
28,18,17
28,18,18
28,18,19
28,18,20
28,18,21
28,18,22
28,18,23
28,18,24
28,18,25
28,18,26
28,18,27
28,19,12
28,19,13
28,19,14
28,19,15
28,19,16
28,19,17
28,19,18
28,19,19
28,19,20
28,19,21
28,19,22
28,19,23
28,19,24
28,19,25
28,19,26
28,19,27
28,20,12
28,20,13
28,20,14
28,20,15
28,20,16
28,20,17
28,20,18
28,20,19
28,20,20
28,20,21
28,20,22
28,20,23
28,20,24
28,20,25
28,20,26
28,20,27
28,21,12
28,21,13
28,21,14
28,21,15
28,21,16
28,21,17
28,21,18
28,21,19
28,21,20
28,21,21
28,21,22
28,21,23
28,21,24
28,21,25
28,21,26
28,21,27
28,22,12
28,22,13
28,22,14
28,22,15
28,22,16
28,22,17
28,22,18
28,22,19
28,22,20
28,22,21
28,22,22
28,22,23
28,22,24
28,22,25
28,22,26
28,22,27
29,10,12
29,10,13
29,10,14
29,10,15
29,10,16
29,10,17
29,10,18
29,10,19
29,10,20
29,10,21
29,10,22
29,10,23
29,10,24
29,10,25
29,10,26
29,10,27
29,11,12
29,11,13
29,11,14
29,11,15
29,11,16
29,11,17
29,11,18
29,11,19
29,11,20
29,11,21
29,11,22
29,11,23
29,11,24
29,11,25
29,11,26
29,11,27
29,12,12
29,12,13
29,12,14
29,12,15
29,12,16
29,12,17
29,12,18
29,12,19
29,12,20
29,12,21
29,12,22
29,12,23
29,12,24
29,12,25
29,12,26
29,12,27
29,13,12
29,13,13
29,13,14
29,13,15
29,13,16
29,13,17
29,13,18
29,13,19
29,13,20
29,13,21
29,13,22
29,13,23
29,13,24
29,13,25
29,13,26
29,13,27
29,14,12
29,14,13
29,14,14
29,14,15
29,14,16
29,14,17
29,14,18
29,14,19
29,14,20
29,14,21
29,14,22
29,14,23
29,14,24
29,14,25
29,14,26
29,14,27
29,15,12
29,15,13
29,15,14
29,15,15
29,15,16
29,15,17
29,15,18
29,15,19
29,15,20
29,15,21
29,15,22
29,15,23
29,15,24
29,15,25
29,15,26
29,15,27
29,16,12
29,16,13
29,16,14
29,16,15
29,16,16
29,16,17
29,16,18
29,16,19
29,16,20
29,16,21
29,16,22
29,16,23
29,16,24
29,16,25
29,16,26
29,16,27
29,17,12
29,17,13
29,17,14
29,17,15
29,17,16
29,17,17
29,17,18
29,17,19
29,17,20
29,17,21
29,17,22
29,17,23
29,17,24
29,17,25
29,17,26
29,17,27
29,18,12
29,18,13
29,18,14
29,18,15
29,18,16
29,18,17
29,18,18
29,18,19
29,18,20
29,18,21
29,18,22
29,18,23
29,18,24
29,18,25
29,18,26
29,18,27
29,19,12
29,19,13
29,19,14
29,19,15
29,19,16
29,19,17
29,19,18
29,19,19
29,19,20
29,19,21
29,19,22
29,19,23
29,19,24
29,19,25
29,19,26
29,19,27
29,20,12
29,20,13
29,20,14
29,20,15
29,20,16
29,20,17
29,20,18
29,20,19
29,20,20
29,20,21
29,20,22
29,20,23
29,20,24
29,20,25
29,20,26
29,20,27
29,21,12
29,21,13
29,21,14
29,21,15
29,21,16
29,21,17
29,21,18
29,21,19
29,21,20
29,21,21
29,21,22
29,21,23
29,21,24
29,21,25
29,21,26
29,21,27
29,22,12
29,22,13
29,22,14
29,22,15
29,22,16
29,22,17
29,22,18
29,22,19
29,22,20
29,22,21
29,22,22
29,22,23
29,22,24
29,22,25
29,22,26
29,22,27
30,10,12
30,10,13
30,10,14
30,10,15
30,10,16
30,10,17
30,10,18
30,10,19
30,10,20
30,10,21
30,10,22
30,10,23
30,10,24
30,10,25
30,10,26
30,10,27
30,11,12
30,11,13
30,11,14
30,11,15
30,11,16
30,11,17
30,11,18
30,11,19
30,11,20
30,11,21
30,11,22
30,11,23
30,11,24
30,11,25
30,11,26
30,11,27
30,12,12
30,12,13
30,12,14
30,12,15
30,12,16
30,12,17
30,12,18
30,12,19
30,12,20
30,12,21
30,12,22
30,12,23
30,12,24
30,12,25
30,12,26
30,12,27
30,13,12
30,13,13
30,13,14
30,13,15
30,13,16
30,13,17
30,13,18
30,13,19
30,13,20
30,13,21
30,13,22
30,13,23
30,13,24
30,13,25
30,13,26
30,13,27
30,14,12
30,14,13
30,14,14
30,14,15
30,14,16
30,14,17
30,14,18
30,14,19
30,14,20
30,14,21
30,14,22
30,14,23
30,14,24
30,14,25
30,14,26
30,14,27
30,15,12
30,15,13
30,15,14
30,15,15
30,15,16
30,15,17
30,15,18
30,15,19
30,15,20
30,15,21
30,15,22
30,15,23
30,15,24
30,15,25
30,15,26
30,15,27
30,16,12
30,16,13
30,16,14
30,16,15
30,16,16
30,16,17
30,16,18
30,16,19
30,16,20
30,16,21
30,16,22
30,16,23
30,16,24
30,16,25
30,16,26
30,16,27
30,17,12
30,17,13
30,17,14
30,17,15
30,17,16
30,17,17
30,17,18
30,17,19
30,17,20
30,17,21
30,17,22
30,17,23
30,17,24
30,17,25
30,17,26
30,17,27
30,18,12
30,18,13
30,18,14
30,18,15
30,18,16
30,18,17
30,18,18
30,18,19
30,18,20
30,18,21
30,18,22
30,18,23
30,18,24
30,18,25
30,18,26
30,18,27
30,19,12
30,19,13
30,19,14
30,19,15
30,19,16
30,19,17
30,19,18
30,19,19
30,19,20
30,19,21
30,19,22
30,19,23
30,19,24
30,19,25
30,19,26
30,19,27
30,20,12
30,20,13
30,20,14
30,20,15
30,20,16
30,20,17
30,20,18
30,20,19
30,20,20
30,20,21
30,20,22
30,20,23
30,20,24
30,20,25
30,20,26
30,20,27
30,21,12
30,21,13
30,21,14
30,21,15
30,21,16
30,21,17
30,21,18
30,21,19
30,21,20
30,21,21
30,21,22
30,21,23
30,21,24
30,21,25
30,21,26
30,21,27
30,22,12
30,22,13
30,22,14
30,22,15
30,22,16
30,22,17
30,22,18
30,22,19
30,22,20
30,22,21
30,22,22
30,22,23
30,22,24
30,22,25
30,22,26
30,22,27
31,10,12
31,10,13
31,10,14
31,10,15
31,10,16
31,10,17
31,10,18
31,10,19
31,10,20
31,10,21
31,10,22
31,10,23
31,10,24
31,10,25
31,10,26
31,10,27
31,11,12
31,11,13
31,11,14
31,11,15
31,11,16
31,11,17
31,11,18
31,11,19
31,11,20
31,11,21
31,11,22
31,11,23
31,11,24
31,11,25
31,11,26
31,11,27
31,12,12
31,12,13
31,12,14
31,12,15
31,12,16
31,12,17
31,12,18
31,12,19
31,12,20
31,12,21
31,12,22
31,12,23
31,12,24
31,12,25
31,12,26
31,12,27
31,13,12
31,13,13
31,13,14
31,13,15
31,13,16
31,13,17
31,13,18
31,13,19
31,13,20
31,13,21
31,13,22
31,13,23
31,13,24
31,13,25
31,13,26
31,13,27
31,14,12
31,14,13
31,14,14
31,14,15
31,14,16
31,14,17
31,14,18
31,14,19
31,14,20
31,14,21
31,14,22
31,14,23
31,14,24
31,14,25
31,14,26
31,14,27
31,15,12
31,15,13
31,15,14
31,15,15
31,15,16
31,15,17
31,15,18
31,15,19
31,15,20
31,15,21
31,15,22
31,15,23
31,15,24
31,15,25
31,15,26
31,15,27
31,16,12
31,16,13
31,16,14
31,16,15
31,16,16
31,16,17
31,16,18
31,16,19
31,16,20
31,16,21
31,16,22
31,16,23
31,16,24
31,16,25
31,16,26
31,16,27
31,17,12
31,17,13
31,17,14
31,17,15
31,17,16
31,17,17
31,17,18
31,17,19
31,17,20
31,17,21
31,17,22
31,17,23
31,17,24
31,17,25
31,17,26
31,17,27
31,18,12
31,18,13
31,18,14
31,18,15
31,18,16
31,18,17
31,18,18
31,18,19
31,18,20
31,18,21
31,18,22
31,18,23
31,18,24
31,18,25
31,18,26
31,18,27
31,19,12
31,19,13
31,19,14
31,19,15
31,19,16
31,19,17
31,19,18
31,19,19
31,19,20
31,19,21
31,19,22
31,19,23
31,19,24
31,19,25
31,19,26
31,19,27
31,20,12
31,20,13
31,20,14
31,20,15
31,20,16
31,20,17
31,20,18
31,20,19
31,20,20
31,20,21
31,20,22
31,20,23
31,20,24
31,20,25
31,20,26
31,20,27
31,21,12
31,21,13
31,21,14
31,21,15
31,21,16
31,21,17
31,21,18
31,21,19
31,21,20
31,21,21
31,21,22
31,21,23
31,21,24
31,21,25
31,21,26
31,21,27
31,22,12
31,22,13
31,22,14
31,22,15
31,22,16
31,22,17
31,22,18
31,22,19
31,22,20
31,22,21
31,22,22
31,22,23
31,22,24
31,22,25
31,22,26
31,22,27
32,10,12
32,10,13
32,10,14
32,10,15
32,10,16
32,10,17
32,10,18
32,10,19
32,10,20
32,10,21
32,10,22
32,10,23
32,10,24
32,10,25
32,10,26
32,10,27
32,11,12
32,11,13
32,11,14
32,11,15
32,11,16
32,11,17
32,11,18
32,11,19
32,11,20
32,11,21
32,11,22
32,11,23
32,11,24
32,11,25
32,11,26
32,11,27
32,12,12
32,12,13
32,12,14
32,12,15
32,12,16
32,12,17
32,12,18
32,12,19
32,12,20
32,12,21
32,12,22
32,12,23
32,12,24
32,12,25
32,12,26
32,12,27
32,13,12
32,13,13
32,13,14
32,13,15
32,13,16
32,13,17
32,13,18
32,13,19
32,13,20
32,13,21
32,13,22
32,13,23
32,13,24
32,13,25
32,13,26
32,13,27
32,14,12
32,14,13
32,14,14
32,14,15
32,14,16
32,14,17
32,14,18
32,14,19
32,14,20
32,14,21
32,14,22
32,14,23
32,14,24
32,14,25
32,14,26
32,14,27
32,15,12
32,15,13
32,15,14
32,15,15
32,15,16
32,15,17
32,15,18
32,15,19
32,15,20
32,15,21
32,15,22
32,15,23
32,15,24
32,15,25
32,15,26
32,15,27
32,16,12
32,16,13
32,16,14
32,16,15
32,16,16
32,16,17
32,16,18
32,16,19
32,16,20
32,16,21
32,16,22
32,16,23
32,16,24
32,16,25
32,16,26
32,16,27
32,17,12
32,17,13
32,17,14
32,17,15
32,17,16
32,17,17
32,17,18
32,17,19
32,17,20
32,17,21
32,17,22
32,17,23
32,17,24
32,17,25
32,17,26
32,17,27
32,18,12
32,18,13
32,18,14
32,18,15
32,18,16
32,18,17
32,18,18
32,18,19
32,18,20
32,18,21
32,18,22
32,18,23
32,18,24
32,18,25
32,18,26
32,18,27
32,19,12
32,19,13
32,19,14
32,19,15
32,19,16
32,19,17
32,19,18
32,19,19
32,19,20
32,19,21
32,19,22
32,19,23
32,19,24
32,19,25
32,19,26
32,19,27
32,20,12
32,20,13
32,20,14
32,20,15
32,20,16
32,20,17
32,20,18
32,20,19
32,20,20
32,20,21
32,20,22
32,20,23
32,20,24
32,20,25
32,20,26
32,20,27
32,21,12
32,21,13
32,21,14
32,21,15
32,21,16
32,21,17
32,21,18
32,21,19
32,21,20
32,21,21
32,21,22
32,21,23
32,21,24
32,21,25
32,21,26
32,21,27
32,22,12
32,22,13
32,22,14
32,22,15
32,22,16
32,22,17
32,22,18
32,22,19
32,22,20
32,22,21
32,22,22
32,22,23
32,22,24
32,22,25
32,22,26
32,22,27
33,10,12
33,10,13
33,10,14
33,10,15
33,10,16
33,10,17
33,10,18
33,10,19
33,10,20
33,10,21
33,10,22
33,10,23
33,10,24
33,10,25
33,10,26
33,10,27
33,11,12
33,11,13
33,11,14
33,11,15
33,11,16
33,11,17
33,11,18
33,11,19
33,11,20
33,11,21
33,11,22
33,11,23
33,11,24
33,11,25
33,11,26
33,11,27
33,12,12
33,12,13
33,12,14
33,12,15
33,12,16
33,12,17
33,12,18
33,12,19
33,12,20
33,12,21
33,12,22
33,12,23
33,12,24
33,12,25
33,12,26
33,12,27
33,13,12
33,13,13
33,13,14
33,13,15
33,13,16
33,13,17
33,13,18
33,13,19
33,13,20
33,13,21
33,13,22
33,13,23
33,13,24
33,13,25
33,13,26
33,13,27
33,14,12
33,14,13
33,14,14
33,14,15
33,14,16
33,14,17
33,14,18
33,14,19
33,14,20
33,14,21
33,14,22
33,14,23
33,14,24
33,14,25
33,14,26
33,14,27
33,15,12
33,15,13
33,15,14
33,15,15
33,15,16
33,15,17
33,15,18
33,15,19
33,15,20
33,15,21
33,15,22
33,15,23
33,15,24
33,15,25
33,15,26
33,15,27
33,16,12
33,16,13
33,16,14
33,16,15
33,16,16
33,16,17
33,16,18
33,16,19
33,16,20
33,16,21
33,16,22
33,16,23
33,16,24
33,16,25
33,16,26
33,16,27
33,17,12
33,17,13
33,17,14
33,17,15
33,17,16
33,17,17
33,17,18
33,17,19
33,17,20
33,17,21
33,17,22
33,17,23
33,17,24
33,17,25
33,17,26
33,17,27
33,18,12
33,18,13
33,18,14
33,18,15
33,18,16
33,18,17
33,18,18
33,18,19
33,18,20
33,18,21
33,18,22
33,18,23
33,18,24
33,18,25
33,18,26
33,18,27
33,19,12
33,19,13
33,19,14
33,19,15
33,19,16
33,19,17
33,19,18
33,19,19
33,19,20
33,19,21
33,19,22
33,19,23
33,19,24
33,19,25
33,19,26
33,19,27
33,20,12
33,20,13
33,20,14
33,20,15
33,20,16
33,20,17
33,20,18
33,20,19
33,20,20
33,20,21
33,20,22
33,20,23
33,20,24
33,20,25
33,20,26
33,20,27
33,21,12
33,21,13
33,21,14
33,21,15
33,21,16
33,21,17
33,21,18
33,21,19
33,21,20
33,21,21
33,21,22
33,21,23
33,21,24
33,21,25
33,21,26
33,21,27
33,22,12
33,22,13
33,22,14
33,22,15
33,22,16
33,22,17
33,22,18
33,22,19
33,22,20
33,22,21
33,22,22
33,22,23
33,22,24
33,22,25
33,22,26
33,22,27
34,10,12
34,10,13
34,10,14
34,10,15
34,10,16
34,10,17
34,10,18
34,10,19
34,10,20
34,10,21
34,10,22
34,10,23
34,10,24
34,10,25
34,10,26
34,10,27
34,11,12
34,11,13
34,11,14
34,11,15
34,11,16
34,11,17
34,11,18
34,11,19
34,11,20
34,11,21
34,11,22
34,11,23
34,11,24
34,11,25
34,11,26
34,11,27
34,12,12
34,12,13
34,12,14
34,12,15
34,12,16
34,12,17
34,12,18
34,12,19
34,12,20
34,12,21
34,12,22
34,12,23
34,12,24
34,12,25
34,12,26
34,12,27
34,13,12
34,13,13
34,13,14
34,13,15
34,13,16
34,13,17
34,13,18
34,13,19
34,13,20
34,13,21
34,13,22
34,13,23
34,13,24
34,13,25
34,13,26
34,13,27
34,14,12
34,14,13
34,14,14
34,14,15
34,14,16
34,14,17
34,14,18
34,14,19
34,14,20
34,14,21
34,14,22
34,14,23
34,14,24
34,14,25
34,14,26
34,14,27
34,15,12
34,15,13
34,15,14
34,15,15
34,15,16
34,15,17
34,15,18
34,15,19
34,15,20
34,15,21
34,15,22
34,15,23
34,15,24
34,15,25
34,15,26
34,15,27
34,16,12
34,16,13
34,16,14
34,16,15
34,16,16
34,16,17
34,16,18
34,16,19
34,16,20
34,16,21
34,16,22
34,16,23
34,16,24
34,16,25
34,16,26
34,16,27
34,17,12
34,17,13
34,17,14
34,17,15
34,17,16
34,17,17
34,17,18
34,17,19
34,17,20
34,17,21
34,17,22
34,17,23
34,17,24
34,17,25
34,17,26
34,17,27
34,18,12
34,18,13
34,18,14
34,18,15
34,18,16
34,18,17
34,18,18
34,18,19
34,18,20
34,18,21
34,18,22
34,18,23
34,18,24
34,18,25
34,18,26
34,18,27
34,19,12
34,19,13
34,19,14
34,19,15
34,19,16
34,19,17
34,19,18
34,19,19
34,19,20
34,19,21
34,19,22
34,19,23
34,19,24
34,19,25
34,19,26
34,19,27
34,20,12
34,20,13
34,20,14
34,20,15
34,20,16
34,20,17
34,20,18
34,20,19
34,20,20
34,20,21
34,20,22
34,20,23
34,20,24
34,20,25
34,20,26
34,20,27
34,21,12
34,21,13
34,21,14
34,21,15
34,21,16
34,21,17
34,21,18
34,21,19
34,21,20
34,21,21
34,21,22
34,21,23
34,21,24
34,21,25
34,21,26
34,21,27
34,22,12
34,22,13
34,22,14
34,22,15
34,22,16
34,22,17
34,22,18
34,22,19
34,22,20
34,22,21
34,22,22
34,22,23
34,22,24
34,22,25
34,22,26
34,22,27
35,10,12
35,10,13
35,10,14
35,10,15
35,10,16
35,10,17
35,10,18
35,10,19
35,10,20
35,10,21
35,10,22
35,10,23
35,10,24
35,10,25
35,10,26
35,10,27
35,11,12
35,11,13
35,11,14
35,11,15
35,11,16
35,11,17
35,11,18
35,11,19
35,11,20
35,11,21
35,11,22
35,11,23
35,11,24
35,11,25
35,11,26
35,11,27
35,12,12
35,12,13
35,12,14
35,12,15
35,12,16
35,12,17
35,12,18
35,12,19
35,12,20
35,12,21
35,12,22
