l,w,h
18,6,15
18,6,16
18,6,17
18,6,18
18,7,6
18,7,7
18,7,8
18,7,9
18,7,10
18,7,11
18,7,12
18,7,13
18,7,14
18,7,15
18,7,16
18,7,17
18,7,18
18,8,6
18,8,7
18,8,8
18,8,9
18,8,10
18,8,11
18,8,12
18,8,13
18,8,14
18,8,15
18,8,16
18,8,17
18,8,18
18,9,6
18,9,7
18,9,8
18,9,9
18,9,10
18,9,11
18,9,12
18,9,13
18,9,14
18,9,15
18,9,16
18,9,17
18,9,18
18,10,6
18,10,7
18,10,8
18,10,9
18,10,10
18,10,11
18,10,12
18,10,13
18,10,14
18,10,15
18,10,16
18,10,17
18,10,18
18,11,6
18,11,7
18,11,8
18,11,9
18,11,10
18,11,11
18,11,12
18,11,13
18,11,14
18,11,15
18,11,16
18,11,17
18,11,18
18,12,6
18,12,7
18,12,8
18,12,9
18,12,10
18,12,11
18,12,12
18,12,13
18,12,14
18,12,15
18,12,16
18,12,17
18,12,18
18,13,6
18,13,7
18,13,8
18,13,9
18,13,10
18,13,11
18,13,12
18,13,13
18,13,14
18,13,15
18,13,16
18,13,17
18,13,18
18,14,6
18,14,7
18,14,8
18,14,9
18,14,10
18,14,11
18,14,12
18,14,13
18,14,14
18,14,15
18,14,16
18,14,17
18,14,18
18,15,6
18,15,7
18,15,8
18,15,9
18,15,10
18,15,11
18,15,12
18,15,13
18,15,14
18,15,15
18,15,16
18,15,17
18,15,18
19,5,6
19,5,7
19,5,8
19,5,9
19,5,10
19,5,11
19,5,12
19,5,13
19,5,14
19,5,15
19,5,16
19,5,17
19,5,18
19,6,6
19,6,7
19,6,8
19,6,9
19,6,10
19,6,11
19,6,12
19,6,13
19,6,14
19,6,15
19,6,16
19,6,17
19,6,18
19,7,6
19,7,7
19,7,8
19,7,9
19,7,10
19,7,11
19,7,12
19,7,13
19,7,14
19,7,15
19,7,16
19,7,17
19,7,18
19,8,6
19,8,7
19,8,8
19,8,9
19,8,10
19,8,11
19,8,12
19,8,13
19,8,14
19,8,15
19,8,16
19,8,17
19,8,18
19,9,6
19,9,7
19,9,8
19,9,9
19,9,10
19,9,11
19,9,12
19,9,13
19,9,14
19,9,15
19,9,16
19,9,17
19,9,18
19,10,6
19,10,7
19,10,8
19,10,9
19,10,10
19,10,11
19,10,12
19,10,13
19,10,14
19,10,15
19,10,16
19,10,17
19,10,18
19,11,6
19,11,7
19,11,8
19,11,9
19,11,10
19,11,11
19,11,12
19,11,13
19,11,14
19,11,15
19,11,16
19,11,17
19,11,18
19,12,6
19,12,7
19,12,8
19,12,9
19,12,10
19,12,11
19,12,12
19,12,13
19,12,14
19,12,15
19,12,16
19,12,17
19,12,18
19,13,6
19,13,7
19,13,8
19,13,9
19,13,10
19,13,11
19,13,12
19,13,13
19,13,14
19,13,15
19,13,16
19,13,17
19,13,18
19,14,6
19,14,7
19,14,8
19,14,9
19,14,10
19,14,11
19,14,12
19,14,13
19,14,14
19,14,15
19,14,16
19,14,17
19,14,18
19,15,6
19,15,7
19,15,8
19,15,9
19,15,10
19,15,11
19,15,12
19,15,13
19,15,14
19,15,15
19,15,16
19,15,17
19,15,18
20,5,6
20,5,7
20,5,8
20,5,9
20,5,10
20,5,11
20,5,12
20,5,13
20,5,14
20,5,15
20,5,16
20,5,17
20,5,18
20,6,6
20,6,7
20,6,8
20,6,9
20,6,10
20,6,11
20,6,12
20,6,13
20,6,14
20,6,15
20,6,16
20,6,17
20,6,18
20,7,6
20,7,7
20,7,8
20,7,9
20,7,10
20,7,11
20,7,12
20,7,13
20,7,14
20,7,15
20,7,16
20,7,17
20,7,18
20,8,6
20,8,7
20,8,8
20,8,9
20,8,10
20,8,11
20,8,12
20,8,13
20,8,14
20,8,15
20,8,16
20,8,17
20,8,18
20,9,6
20,9,7
20,9,8
20,9,9
20,9,10
20,9,11
20,9,12
20,9,13
20,9,14
20,9,15
20,9,16
20,9,17
20,9,18
20,10,6
20,10,7
20,10,8
20,10,9
20,10,10
20,10,11
20,10,12
20,10,13
20,10,14
20,10,15
20,10,16
20,10,17
20,10,18
20,11,6
20,11,7
20,11,8
20,11,9
20,11,10
20,11,11
20,11,12
20,11,13
20,11,14
20,11,15
20,11,16
20,11,17
20,11,18
20,12,6
20,12,7
20,12,8
20,12,9
20,12,10
20,12,11
20,12,12
20,12,13
20,12,14
20,12,15
20,12,16
20,12,17
20,12,18
20,13,6
20,13,7
20,13,8
20,13,9
20,13,10
20,13,11
20,13,12
20,13,13
20,13,14
20,13,15
20,13,16
20,13,17
20,13,18
20,14,6
20,14,7
20,14,8
20,14,9
20,14,10
20,14,11
20,14,12
20,14,13
20,14,14
20,14,15
20,14,16
20,14,17
20,14,18
20,15,6
20,15,7
20,15,8
20,15,9
20,15,10
20,15,11
20,15,12
20,15,13
20,15,14
20,15,15
20,15,16
20,15,17
20,15,18
21,5,6
21,5,7
21,5,8
21,5,9
21,5,10
21,5,11
21,5,12
21,5,13
21,5,14
21,5,15
21,5,16
21,5,17
21,5,18
21,6,6
21,6,7
21,6,8
21,6,9
21,6,10
21,6,11
21,6,12
21,6,13
21,6,14
21,6,15
21,6,16
21,6,17
21,6,18
21,7,6
21,7,7
21,7,8
21,7,9
21,7,10
21,7,11
21,7,12
21,7,13
21,7,14
21,7,15
21,7,16
21,7,17
21,7,18
21,8,6
21,8,7
21,8,8
21,8,9
21,8,10
21,8,11
21,8,12
21,8,13
21,8,14
21,8,15
21,8,16
21,8,17
21,8,18
21,9,6
21,9,7
21,9,8
21,9,9
21,9,10
21,9,11
21,9,12
21,9,13
21,9,14
21,9,15
21,9,16
21,9,17
21,9,18
21,10,6
21,10,7
21,10,8
21,10,9
21,10,10
21,10,11
21,10,12
21,10,13
21,10,14
21,10,15
21,10,16
21,10,17
21,10,18
21,11,6
21,11,7
21,11,8
21,11,9
21,11,10
21,11,11
21,11,12
21,11,13
21,11,14
21,11,15
21,11,16
21,11,17
21,11,18
21,12,6
21,12,7
21,12,8
21,12,9
21,12,10
21,12,11
21,12,12
21,12,13
21,12,14
21,12,15
21,12,16
21,12,17
21,12,18
21,13,6
21,13,7
21,13,8
21,13,9
21,13,10
21,13,11
21,13,12
21,13,13
21,13,14
21,13,15
21,13,16
21,13,17
21,13,18
21,14,6
21,14,7
21,14,8
21,14,9
21,14,10
21,14,11
21,14,12
21,14,13
21,14,14
21,14,15
21,14,16
21,14,17
21,14,18
21,15,6
21,15,7
21,15,8
21,15,9
21,15,10
21,15,11
21,15,12
21,15,13
21,15,14
21,15,15
21,15,16
21,15,17
21,15,18
22,5,6
22,5,7
22,5,8
22,5,9
22,5,10
22,5,11
22,5,12
22,5,13
22,5,14
22,5,15
22,5,16
22,5,17
22,5,18
22,6,6
22,6,7
22,6,8
22,6,9
22,6,10
22,6,11
22,6,12
22,6,13
22,6,14
22,6,15
22,6,16
22,6,17
22,6,18
22,7,6
22,7,7
22,7,8
22,7,9
22,7,10
22,7,11
22,7,12
22,7,13
22,7,14
22,7,15
22,7,16
22,7,17
22,7,18
22,8,6
22,8,7
22,8,8
22,8,9
22,8,10
22,8,11
22,8,12
22,8,13
22,8,14
22,8,15
22,8,16
22,8,17
22,8,18
22,9,6
22,9,7
22,9,8
22,9,9
22,9,10
22,9,11
22,9,12
22,9,13
22,9,14
22,9,15
22,9,16
22,9,17
22,9,18
22,10,6
22,10,7
22,10,8
22,10,9
22,10,10
22,10,11
22,10,12
22,10,13
22,10,14
22,10,15
22,10,16
22,10,17
22,10,18
22,11,6
22,11,7
22,11,8
22,11,9
22,11,10
22,11,11
22,11,12
22,11,13
22,11,14
22,11,15
22,11,16
22,11,17
22,11,18
22,12,6
22,12,7
22,12,8
22,12,9
22,12,10
22,12,11
22,12,12
22,12,13
22,12,14
22,12,15
22,12,16
22,12,17
22,12,18
22,13,6
22,13,7
22,13,8
22,13,9
22,13,10
22,13,11
22,13,12
22,13,13
22,13,14
22,13,15
22,13,16
22,13,17
22,13,18
22,14,6
22,14,7
22,14,8
22,14,9
22,14,10
22,14,11
22,14,12
22,14,13
22,14,14
22,14,15
22,14,16
22,14,17
22,14,18
22,15,6
22,15,7
22,15,8
22,15,9
22,15,10
22,15,11
22,15,12
22,15,13
22,15,14
22,15,15
22,15,16
22,15,17
22,15,18
23,5,6
23,5,7
23,5,8
23,5,9
23,5,10
23,5,11
23,5,12
23,5,13
23,5,14
23,5,15
23,5,16
23,5,17
23,5,18
23,6,6
23,6,7
23,6,8
23,6,9
23,6,10
23,6,11
23,6,12
23,6,13
23,6,14
23,6,15
23,6,16
23,6,17
23,6,18
23,7,6
23,7,7
23,7,8
23,7,9
23,7,10
23,7,11
23,7,12
23,7,13
23,7,14
23,7,15
23,7,16
23,7,17
23,7,18
23,8,6
23,8,7
23,8,8
23,8,9
23,8,10
23,8,11
23,8,12
23,8,13
23,8,14
23,8,15
23,8,16
23,8,17
23,8,18
23,9,6
23,9,7
23,9,8
23,9,9
23,9,10
23,9,11
23,9,12
23,9,13
23,9,14
23,9,15
23,9,16
23,9,17
23,9,18
23,10,6
23,10,7
23,10,8
23,10,9
23,10,10
23,10,11
23,10,12
23,10,13
23,10,14
23,10,15
23,10,16
23,10,17
23,10,18
23,11,6
23,11,7
23,11,8
23,11,9
23,11,10
23,11,11
23,11,12
23,11,13
23,11,14
23,11,15
23,11,16
23,11,17
23,11,18
23,12,6
23,12,7
23,12,8
23,12,9
23,12,10
23,12,11
23,12,12
23,12,13
23,12,14
23,12,15
23,12,16
23,12,17
23,12,18
23,13,6
23,13,7
23,13,8
23,13,9
23,13,10
23,13,11
23,13,12
23,13,13
23,13,14
23,13,15
23,13,16
23,13,17
23,13,18
23,14,6
23,14,7
23,14,8
23,14,9
23,14,10
23,14,11
23,14,12
23,14,13
23,14,14
23,14,15
23,14,16
23,14,17
23,14,18
23,15,6
23,15,7
23,15,8
23,15,9
23,15,10
23,15,11
23,15,12
23,15,13
23,15,14
23,15,15
23,15,16
23,15,17
23,15,18
24,5,6
24,5,7
24,5,8
24,5,9
24,5,10
24,5,11
24,5,12
24,5,13
24,5,14
24,5,15
24,5,16
24,5,17
24,5,18
24,6,6
24,6,7
24,6,8
24,6,9
24,6,10
24,6,11
24,6,12
24,6,13
24,6,14
24,6,15
24,6,16
24,6,17
24,6,18
24,7,6
24,7,7
24,7,8
24,7,9
24,7,10
24,7,11
24,7,12
24,7,13
24,7,14
24,7,15
24,7,16
24,7,17
24,7,18
24,8,6
24,8,7
24,8,8
24,8,9
24,8,10
24,8,11
24,8,12
24,8,13
24,8,14
24,8,15
24,8,16
24,8,17
24,8,18
24,9,6
24,9,7
24,9,8
24,9,9
24,9,10
24,9,11
24,9,12
24,9,13
24,9,14
24,9,15
24,9,16
24,9,17
24,9,18
24,10,6
24,10,7
24,10,8
24,10,9
24,10,10
24,10,11
24,10,12
24,10,13
24,10,14
24,10,15
24,10,16
24,10,17
24,10,18
24,11,6
24,11,7
24,11,8
24,11,9
24,11,10
24,11,11
24,11,12
24,11,13
24,11,14
24,11,15
24,11,16
24,11,17
24,11,18
24,12,6
24,12,7
24,12,8
24,12,9
24,12,10
24,12,11
24,12,12
24,12,13
24,12,14
24,12,15
24,12,16
24,12,17
24,12,18
24,13,6
24,13,7
24,13,8
24,13,9
24,13,10
24,13,11
24,13,12
24,13,13
24,13,14
24,13,15
24,13,16
24,13,17
24,13,18
24,14,6
24,14,7
24,14,8
24,14,9
24,14,10
24,14,11
24,14,12
24,14,13
24,14,14
24,14,15
24,14,16
24,14,17
24,14,18
24,15,6
24,15,7
24,15,8
24,15,9
24,15,10
24,15,11
24,15,12
24,15,13
24,15,14
24,15,15
24,15,16
24,15,17
24,15,18
25,5,6
25,5,7
25,5,8
25,5,9
25,5,10
25,5,11
25,5,12
25,5,13
25,5,14
25,5,15
25,5,16
25,5,17
25,5,18
25,6,6
25,6,7
25,6,8
25,6,9
25,6,10
25,6,11
25,6,12
25,6,13
25,6,14
25,6,15
25,6,16
25,6,17
25,6,18
25,7,6
25,7,7
25,7,8
25,7,9
25,7,10
25,7,11
25,7,12
25,7,13
25,7,14
25,7,15
25,7,16
25,7,17
25,7,18
25,8,6
25,8,7
25,8,8
25,8,9
25,8,10
25,8,11
25,8,12
25,8,13
25,8,14
25,8,15
25,8,16
25,8,17
25,8,18
25,9,6
25,9,7
25,9,8
25,9,9
25,9,10
25,9,11
25,9,12
25,9,13
25,9,14
25,9,15
25,9,16
25,9,17
25,9,18
25,10,6
25,10,7
25,10,8
25,10,9
25,10,10
25,10,11
25,10,12
25,10,13
25,10,14
25,10,15
25,10,16
25,10,17
25,10,18
25,11,6
25,11,7
25,11,8
25,11,9
25,11,10
25,11,11
25,11,12
25,11,13
25,11,14
25,11,15
25,11,16
25,11,17
25,11,18
25,12,6
25,12,7
25,12,8
25,12,9
25,12,10
25,12,11
25,12,12
25,12,13
25,12,14
25,12,15
25,12,16
25,12,17
25,12,18
25,13,6
25,13,7
25,13,8
25,13,9
25,13,10
25,13,11
25,13,12
25,13,13
25,13,14
25,13,15
25,13,16
25,13,17
25,13,18
25,14,6
25,14,7
25,14,8
25,14,9
25,14,10
25,14,11
25,14,12
25,14,13
25,14,14
25,14,15
25,14,16
25,14,17
25,14,18
25,15,6
25,15,7
25,15,8
25,15,9
25,15,10
25,15,11
25,15,12
25,15,13
25,15,14
25,15,15
25,15,16
25,15,17
25,15,18
26,5,6
26,5,7
26,5,8
26,5,9
26,5,10
26,5,11
26,5,12
26,5,13
26,5,14
26,5,15
26,5,16
26,5,17
26,5,18
26,6,6
26,6,7
26,6,8
26,6,9
26,6,10
26,6,11
26,6,12
26,6,13
26,6,14
26,6,15
26,6,16
26,6,17
26,6,18
26,7,6
26,7,7
26,7,8
26,7,9
26,7,10
26,7,11
26,7,12
26,7,13
26,7,14
26,7,15
26,7,16
26,7,17
26,7,18
26,8,6
26,8,7
26,8,8
26,8,9
26,8,10
26,8,11
26,8,12
26,8,13
26,8,14
26,8,15
26,8,16
26,8,17
26,8,18
26,9,6
26,9,7
26,9,8
26,9,9
26,9,10
26,9,11
26,9,12
26,9,13
26,9,14
26,9,15
26,9,16
26,9,17
26,9,18
26,10,6
26,10,7
26,10,8
26,10,9
26,10,10
26,10,11
26,10,12
26,10,13
26,10,14
26,10,15
26,10,16
26,10,17
26,10,18
26,11,6
26,11,7
26,11,8
26,11,9
26,11,10
26,11,11
26,11,12
26,11,13
26,11,14
26,11,15
26,11,16
26,11,17
26,11,18
26,12,6
26,12,7
26,12,8
26,12,9
26,12,10
26,12,11
26,12,12
26,12,13
26,12,14
26,12,15
26,12,16
26,12,17
26,12,18
26,13,6
26,13,7
26,13,8
26,13,9
26,13,10
26,13,11
26,13,12
26,13,13
26,13,14
26,13,15
26,13,16
26,13,17
26,13,18
26,14,6
26,14,7
26,14,8
26,14,9
26,14,10
26,14,11
26,14,12
26,14,13
26,14,14
26,14,15
26,14,16
26,14,17
26,14,18
26,15,6
26,15,7
26,15,8
26,15,9
26,15,10
26,15,11
26,15,12
26,15,13
26,15,14
26,15,15
26,15,16
26,15,17
26,15,18
27,5,6
27,5,7
27,5,8
27,5,9
27,5,10
27,5,11
27,5,12
27,5,13
27,5,14
27,5,15
27,5,16
27,5,17
27,5,18
27,6,6
27,6,7
27,6,8
27,6,9
27,6,10
27,6,11
27,6,12
27,6,13
27,6,14
27,6,15
27,6,16
27,6,17
27,6,18
27,7,6
27,7,7
27,7,8
27,7,9
27,7,10
27,7,11
27,7,12
27,7,13
27,7,14
27,7,15
27,7,16
27,7,17
27,7,18
27,8,6
27,8,7
27,8,8
27,8,9
27,8,10
27,8,11
27,8,12
27,8,13
27,8,14
27,8,15
27,8,16
27,8,17
27,8,18
27,9,6
27,9,7
27,9,8
27,9,9
27,9,10
27,9,11
27,9,12
27,9,13
27,9,14
27,9,15
27,9,16
27,9,17
27,9,18
27,10,6
27,10,7
27,10,8
27,10,9
27,10,10
27,10,11
27,10,12
27,10,13
27,10,14
27,10,15
27,10,16
27,10,17
27,10,18
27,11,6
27,11,7
27,11,8
27,11,9
27,11,10
27,11,11
27,11,12
27,11,13
27,11,14
27,11,15
27,11,16
27,11,17
27,11,18
27,12,6
27,12,7
27,12,8
27,12,9
27,12,10
27,12,11
27,12,12
27,12,13
27,12,14
27,12,15
27,12,16
27,12,17
27,12,18
27,13,6
27,13,7
27,13,8
27,13,9
27,13,10
27,13,11
27,13,12
27,13,13
27,13,14
27,13,15
27,13,16
27,13,17
27,13,18
27,14,6
27,14,7
27,14,8
27,14,9
27,14,10
27,14,11
27,14,12
27,14,13
27,14,14
27,14,15
27,14,16
27,14,17
27,14,18
27,15,6
27,15,7
27,15,8
27,15,9
27,15,10
27,15,11
27,15,12
27,15,13
27,15,14
27,15,15
27,15,16
27,15,17
27,15,18
28,5,6
28,5,7
28,5,8
28,5,9
28,5,10
28,5,11
28,5,12
28,5,13
28,5,14
28,5,15
28,5,16
28,5,17
28,5,18
28,6,6
28,6,7
28,6,8
28,6,9
28,6,10
28,6,11
28,6,12
28,6,13
28,6,14
28,6,15
28,6,16
28,6,17
28,6,18
28,7,6
28,7,7
28,7,8
28,7,9
28,7,10
28,7,11
28,7,12
28,7,13
28,7,14
28,7,15
28,7,16
28,7,17
28,7,18
28,8,6
28,8,7
28,8,8
28,8,9
